Country Name,Country Code,Group,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,"Population ages 0-14, male",5411610,5640277,5885568,6114720,6301959,6511422,6688306,6846070,7008078,7192151,7341865,7500396,7657099,7796013,7905639,8024679,8122731,8203122,8271660,8333700,8401013
Afghanistan,AFG,"Population ages 0-14, female",5137506,5353947,5579221,5792148,5976085,6173718,6354167,6523612,6692547,6868889,7024632,7173441,7311698,7434608,7538168,7640116,7732304,7814309,7885531,7947146,8010458
Azerbaijan,AZE,"Population ages 15-64, female",2671749,2717409,2765240,2821651,2888481,2953705,3025459,3128558,3227846,3291060,3346152,3394274,3433875,3467362,3496370,3514444,3529177,3539814,3547772,3547838,3545839
Azerbaijan,AZE,"Population ages 15-64, male",2500099,2554717,2612332,2677001,2749553,2818959,2892883,2995957,3095678,3161631,3219598,3271365,3315721,3355395,3392252,3416271,3439877,3461293,3480420,3491422,3501550
Afghanistan,AFG,"Population ages 15-64, female",5097016,5339888,5610866,5883477,6140838,6325599,6487043,6642357,6815683,7023445,7302694,7627967,7986446,8358558,8730445,9076529,9413852,9749017,10092939,10452059,10816707
Zimbabwe,ZWE,"Population ages 65 and above, female",218576,223575,228341,233046,237764,242178,246619,250656,253670,255354,255813,255264,254347,254047,254913,259831,266177,273401,280665,287588,295411
Zimbabwe,ZWE,"Population ages 65 and above, male",143066,142895,141844,140162,137952,138958,139603,139460,137928,134714,136110,136648,136764,137100,138008,141730,146190,151060,155868,160404,165811
Afghanistan,AFG,"Population ages 15-64, male",5469968,5756830,6074051,6384124,6663946,6827106,6955667,7076163,7223804,7421549,7739084,8115940,8533346,8963516,9386355,9750113,10100169,10444644,10796549,11164198,11535866
Afghanistan,AFG,"Population ages 65 and above, female",254716,264833,276150,287338,297667,309845,320362,330587,342521,357421,374724,395096,417170,438835,458824,479389,497970,515553,533560,552871,573282
Afghanistan,AFG,"Population ages 65 and above, male",236176,244999,255015,264882,273779,285368,294997,303492,312173,322056,334412,348538,363833,379274,394172,412202,429085,445277,461518,478367,498102
Albania,ALB,"Population ages 0-14, male",470917,458798,444841,430308,415759,399800,384502,370140,357079,345606,329212,315495,304001,294107,285043,280418,274603,268103,262237,257626,252463
Albania,ALB,"Population ages 0-14, female",437040,424027,410566,396765,382313,365416,349545,334678,320921,308516,294565,282007,270867,261200,252745,248337,243452,238481,234387,231501,227640
Albania,ALB,"Population ages 15-64, female",956115,962390,970051,977602,983308,987062,986996,984649,981423,978296,980347,981544,980634,977857,972981,969484,967394,963389,955875,944638,929799
Albania,ALB,"Population ages 15-64, male",972297,974191,974443,974328,974111,973755,972104,970451,969706,970498,981054,991073,998814,1004033,1006194,1005250,1005023,1002443,996330,986790,973259
Albania,ALB,"Population ages 65 and above, female",116078,119721,123757,127872,131762,136752,141715,146892,152517,158776,164037,169565,175330,181613,188520,192992,198481,204463,210750,217330,223395
Albania,ALB,"Population ages 65 and above, male",107726,111883,115958,120064,124234,129763,135155,140504,145872,151329,155980,160717,165445,170294,175220,179619,184503,189497,194613,199964,205110
Algeria,DZA,"Population ages 0-14, male",5327099,5214567,5110543,5017395,4941038,4896949,4881771,4896061,4939057,5010357,5141012,5279719,5435056,5615832,5821645,6030731,6261925,6498423,6713433,6889992,7040198
Algeria,DZA,"Population ages 0-14, female",5102377,4994033,4895484,4807880,4736274,4696512,4683480,4697747,4738517,4805295,4931022,5063855,5212455,5385666,5583283,5783697,6005660,6232888,6439437,6608900,6753074
Algeria,DZA,"Population ages 15-64, female",9688789,9970450,10245811,10519604,10791513,11050659,11299998,11538985,11767801,11986010,12171404,12364676,12554168,12726608,12878040,13032213,13165818,13290319,13425906,13584234,13754918
Algeria,DZA,"Population ages 15-64, male",9937606,10222588,10500801,10776810,11050110,11303580,11545304,11776440,11998857,12212788,12398454,12594827,12788585,12964040,13115546,13268439,13399078,13520003,13653105,13811078,13981698
Algeria,DZA,"Population ages 65 and above, female",725258,756622,788878,822016,855906,887577,919604,952694,987540,1024786,1053401,1083805,1117396,1156485,1202806,1253587,1310940,1373215,1438045,1504101,1567173
Algeria,DZA,"Population ages 65 and above, male",670384,696850,722642,748448,774879,805730,836819,868677,902110,938215,966145,997017,1032475,1075057,1126700,1182731,1245753,1313567,1383128,1452738,1519565
Angola,AGO,"Population ages 0-14, male",3977967,4108411,4242893,4384193,4534509,4708201,4888928,5076743,5270779,5469888,5688059,5908107,6129427,6350390,6569082,6794455,7015196,7231974,7446078,7658353,7870657
Angola,AGO,"Population ages 0-14, female",4017710,4147984,4282405,4424434,4576744,4751540,4934578,5125026,5320149,5517269,5730658,5941834,6151428,6359972,6566961,6776879,6984656,7189750,7391526,7590076,7790007
Angola,AGO,"Population ages 15-64, female",4262217,4414967,4578281,4753006,4939226,5124894,5324137,5534227,5752731,5978558,6195251,6423190,6661728,6910836,7171195,7435711,7711816,8000119,8301453,8616194,8938951
Angola,AGO,"Population ages 15-64, male",4251553,4396602,4551948,4717292,4892160,5060774,5241247,5431983,5631524,5839147,6038126,6248274,6468908,6700096,6942530,7183297,7437436,7705079,7986290,8281395,8585326
Angola,AGO,"Population ages 65 and above, female",241868,251804,261549,270446,278164,285791,292305,298253,304385,311143,319927,329349,338829,347477,354980,363537,370978,378459,387541,399128,414513
Angola,AGO,"Population ages 65 and above, male",194438,199650,204401,208767,212801,218705,224165,229404,234707,240242,248639,257171,265466,273002,279632,288603,296687,304406,312411,321122,334157
Antigua and Barbuda,ATG,"Population ages 0-14, male",10867,10871,10866,10849,10822,10879,10910,10912,10882,10820,10847,10823,10778,10730,10691,10724,10747,10770,10804,10843,10875
Antigua and Barbuda,ATG,"Population ages 0-14, female",10939,10906,10859,10815,10768,10756,10735,10711,10668,10607,10607,10567,10509,10460,10431,10454,10470,10491,10520,10554,10582
Antigua and Barbuda,ATG,"Population ages 15-64, female",27172,27660,28083,28500,28948,29467,30027,30614,31199,31764,32238,32716,33178,33600,33975,34276,34550,34802,35008,35186,35337
Antigua and Barbuda,ATG,"Population ages 15-64, male",23131,23639,24150,24677,25231,25812,26427,27070,27727,28362,28885,29415,29924,30406,30840,31163,31475,31745,31991,32205,32401
Antigua and Barbuda,ATG,"Population ages 65 and above, female",2813,2878,2944,3023,3116,3178,3250,3338,3432,3541,3642,3751,3872,4000,4137,4272,4419,4570,4736,4919,5131
Antigua and Barbuda,ATG,"Population ages 65 and above, male",2290,2344,2409,2483,2577,2623,2680,2749,2835,2936,3031,3135,3249,3366,3497,3631,3764,3904,4056,4221,4402
Argentina,ARG,"Population ages 0-14, male",5333124,5350072,5369400,5384889,5393566,5407217,5410359,5408041,5409174,5404603,5422973,5449188,5480320,5510397,5536053,5565696,5589652,5609438,5627960,5646296,5662121
